School Year,School Number,School Name,Principal,Location 1,Associate Superintendent,Phone,Fax,Hours,Cluster,School Website,Receiving Schools,Feeder Schools
2014,602,Winston Churchill HS,Dr. Joan Benz,"11300 Gainsborough Road
Potomac, MD 20854
(39.04386162700007, -77.17169802999996)",Dr. Christopher S. Garran,(301) 469-1200,(301) 469-1208,7:25 - 2:10,Winston Churchill,http://www.montgomeryschoolsmd.org/schools/churchillhs/,,"Cabin John, Hoover"
2014,246,Northwest HS,Ms. E. Lancellotti (Lance) Dempsey,"13501 Richter Farm Road
Germantown, MD 20874
(39.149537913000074, -77.28004258599998)",Dr. Christopher S. Garran,(301) 601-4660,(301) 601-4662,7:25 - 2:10,Northwest,http://www.montgomeryschoolsmd.org/schools/northwesths/,,"Clemente, Kingsview, Lakelands Park"
2014,427,Walt Whitman HS,Dr. Alan S. Goodwin,"7100 Whittier Boulevard
Bethesda, MD 20817
(38.981377929000075, -77.12573759999998)",Dr. Christopher S. Garran,(301) 320-6600,(301) 320-7193,7:25 - 2:10,Walt Whitman,http://www.montgomeryschoolsmd.org/schools/whitmanhs/,,Pyle
2014,796,Northwood HS,Mrs. Mildred L. Charley-Greene,"919 University Boulevard West
Silver Spring, MD 20901
(39.03372152500003, -77.02374799299997)",Dr. Christopher S. Garran,(301) 649-8088,(301) 649-8285,7:25 - 2:10,Downcounty Consortium,http://www.mcps.k12.md.us/schools/northwoodhs/,,"Argyle, Eastern, Lee, Loiederman, Newport Mill, Parkland, Sligo, Silver Spring Int'l, Takoma Park MS"
2014,798,Springbrook HS,Mr. Samuel A. Rivera,"201 Valley Brook Drive Silver Spring
MD 20904
(39.05836433500008, -77.00457113499994)",Dr. Christopher S. Garran,(301) 989-5700,(301) 622-1875,7:25 - 2:10,Northeast Consortium,http://www.montgomeryschoolsmd.org/schools/springbrookhs/,,"Banneker, Briggs Chaney, Farquhar, Key, White Oak"
2014,789,Albert Einstein HS,Mr. James G. Fernandez,"11135 Newport Mill Road
Kensington, MD 20895
(39.03948563100005, -77.07014333899997)",Dr. Christopher S. Garran,(301) 929-2200,(301) 962-1016,7:25 - 2:10,Downcounty Consortium,http://www.montgomeryschoolsmd.org/schools/einsteinhs/,,"Argyle, Eastern, Lee, Loiederman, Newport Mill, Parkland, Sligo, Silver Spring Int'l, Takoma Park MS"
2014,249,Clarksburg HS,Mr. James P. Koutsos,"22500 Wims Road
Clarksburg, MD 20871
(39.22539552200004, -77.26484390499996)",Dr. Christopher S. Garran,(301) 444-3000,(301) 444-3595,7:25 - 2:10,Clarksburg,http://www.montgomeryschoolsmd.org/schools/clarksburghs/index.htm,,"Neelsville, Rocky Hill"
2014,321,James Hubert Blake HS,Mr. Christopher S. Berry,"300 Norwood Road Silver Spring
MD 20905
(39.11409019800004, -77.01473312799999)",Dr. Christopher S. Garran,(301) 879-1300,(301) 879-1306,7:25 - 2:10,Northeast Consortium,http://www.montgomeryschoolsmd.org/schools/blakehs/,,"Banneker, Briggs Chaney, Farquhar, Key, White Oak"
2014,757,Montgomery Blair HS,Mrs. Renay C. Johnson,"51 University Boulevard
East Silver Spring, MD 20901
(39.02066106500007, -77.01315518199993)",Dr. Christopher S. Garran,(301) 649-2800,(301) 649-2830,7:25 - 3:00,Downcounty Consortium,http://www.mbhs.edu/,,"Argyle, Eastern, Lee, Loiederman, Newport Mill, Parkland, Sligo, Silver Spring Int'l, Takoma Park MS"
2014,104,Seneca Valley HS,Mr. Marc J. Cohen,"19401 Crystal Rock Drive
Germantown, MD 20874
(39.17542872800004, -77.26568922899997)",Dr. Christopher S. Garran,(301) 353-8000,(301) 353-8004,7:25 - 2:10,Seneca Valley,http://www.montgomeryschoolsmd.org/schools/senecavalleyhs/,,"Clemente, King"
2014,503,Sherwood HS,Mr. William M. Gregory,"300 Olney-Sandy Spring Road Sandy Spring
MD 20860
(39.14908888200006, -77.01757946999999)",Dr. Christopher S. Garran,(301) 924-3200,(301) 924-3220,7:25 - 2:10,Sherwood,http://www.montgomeryschoolsmd.org/schools/sherwoodhs/,,"Farquhar, Rosa Parks"
2014,406,Bethesda-Chevy Chase HS,Mrs. Karen L. Lockard,"4301 East West Highway
Bethesda, MD 20814
(38.98567650500007, -77.08785638299997)",Dr. Christopher S. Garran,(240) 497-6300,(240) 497-6306,7:25 - 2:10,Bethesda-Chevy Chase,http://www.montgomeryschoolsmd.org/schools/bcchs/,,Westland
2014,701,Damascus HS,Mrs. Jennifer L. Webster,"25921 Ridge Road
Damascus, MD 20872
(39.281807386000025, -77.21143519199995)",Dr. Christopher S. Garran,(301) 253-7030,(301) 253-7046,7:25 - 2:10,Damascus,http://www.montgomeryschoolsmd.org/schools/damascushs/,,"Baker, Rocky Hill"
