School Year,School Number,School Name,Principal,Location 1,Associate Superintendent,Phone,Fax,Hours,Cluster,School Website,Receiving Schools,Feeder Schools
2014,778,Sligo MS,Mr. Eric  Wilson,"1401 Dennis Avenue Silver Spring
MD 20902
(39.02576917600004, -77.03214467699996)",Dr. Darryl L. Williams,(301) 649-8121,(301) 649-8145,7:55 - 2:40,Downcounty Consortium,http://www.montgomeryschoolsmd.org/schools/sligoms/,"Blair, Einstein, Kennedy, Northwood, Wheaton","Glen Haven, Highland, Oakland Terrace, Singer, Woodlin"
2014,606,Cabin John MS,Dr. Paulette L. Smith,"10701 Gainsborough Road
Potomac, MD 20854
(39.03062590800005, -77.17275466099994)",Dr. Darryl L. Williams,(301) 469-1150,(301) 469-1003,7:55 - 2:40,"Churchill, Wootton",http://www.montgomeryschoolsmd.org/schools/cabinjohnms/,"Churchill, Wootton","Bells Mill, Cold Spring, Seven Locks, Stone Mill"
2014,211,Julius West MS,Mr. Craig W. Staton,"651 Great Falls Road
Rockville, MD 20850
(39.07757596300007, -77.16235162099997)",Dr. Darryl L. Williams,(301) 279-3979,(301) 517-8216,7:55 - 2:40,Richard Montgomery,http://www.montgomeryschoolsmd.org/schools/westms/,Richard Montgomery,"Beall, College Gardens, Ritchie Park, Twinbrook"
2014,507,William H. Farquhar MS,Mrs. Diane D. Morris,"16915 Batchellors Forest Road
Olney, MD 20832
(39.13535236700005, -77.04558381299995)",Dr. Darryl L. Williams,(301) 924-3100,(301) 924-3152,7:50 - 2:40,"NE Consort.,Sherwood",http://www.montgomeryschoolsmd.org/schools/farquharms/,"Blake, Paint Branch, Sherwood, Springbrook","Brooke Grove, Cloverly, Sherwood, Stonegate"
2014,820,Earle B. Wood MS,Dr. Traci L. Townsend,"14615 Bauer Drive
Rockville, MD 20853
(39.09209031700004, -77.10875391499997)",Dr. Darryl L. Williams,(301) 460-2150,(301) 460-2104,7:55 - 2:40,Rockville,http://www.montgomeryschoolsmd.org/schools/woodms/,Rockville,"Barnsley, Flower Valley, Maryvale, Meadow Hall, Rock Creek Valley"
2014,413,North Bethesda MS,Mr. Alton E. Sumner,"8935 Bradmoor Drive
Bethesda, MD 20817
(39.00351917800003, -77.12505057499999)",Dr. Darryl L. Williams,(301) 571-3883,(301) 571-3881,7:55 - 2:40,Walter Johnson,http://www.montgomeryschoolsmd.org/schools/northbethesdams/,Walter Johnson,"Ashburton, Kensington Parkwood, Wyngate"
2014,107,"Dr. Martin Luther King, Jr.  MS",Ms. Dana E. Davison,"13737 Wisteria Drive
Germantown, MD 20874
(39.179717123000046, -77.28551312299999)",Dr. Darryl L. Williams,(301) 353-8080,(301) 601-0399,7:55 - 2:40,Seneca Valley,http://www.montgomeryschoolsmd.org/schools/mlkms/,Seneca Valley,"Lake Seneca, Dr. Sally K. Ride, Waters Landing"
2014,557,Montgomery Village MS,Dr. Edgar E. Malker,"19300 Watkins Mill Road Montgomery Village
MD 20886
(39.171479859000044, -77.20868354299995)",Dr. Darryl L. Williams,(301) 840-4660,(301) 840-6388,7:55 - 2:40,Watkins Mill,http://www.montgomeryschoolsmd.org/schools/mvms/,Watkins Mill,"Stedwick, Watkins Mill, Whetstone"
2014,823,Argyle MS,Mr. Robert W. Dodd,"2400 Bel Pre Road Silver Spring
MD 20906
(39.09043011000006, -77.04984846399998)",Dr. Darryl L. Williams,(301) 460-2400,(301) 460-2423,7:55 - 2:40,Downcounty Consortium,http://www.montgomeryschoolsmd.org/schools/argylems/,"Blair, Einstein, Kennedy, Northwood, Wheaton","Bel Pre, Brookhaven, Georgian Forest, Harmony Hills, Shriver, Strathmore, Viers Mill, Weller Road, Wheaton Woods"
2014,335,Briggs Chaney MS,Dr. Tamitha E. Campbell,"1901 Rainbow Drive Silver Spring
MD 20905
(39.11086407400006, -76.97217193899996)",Dr. Darryl L. Williams,(301) 989-6000,(301) 989-6020,7:55 - 2:40,Northeast Consortium,http://www.montgomeryschoolsmd.org/schools/briggschaneyms/,"Blake, Paint Branch, Springbrook","Cloverly, Fairland, Galway, Page"
2014,705,John T. Baker MS,Mrs. Louise J. Worthington,"25400 Oak Drive
Damascus, MD 20872
(39.27296131800006, -77.21861390799995)",Dr. Darryl L. Williams,(301) 253-7010,(301) 253-7020,7:55 - 2:40,Damascus,http://www.montgomeryschoolsmd.org/schools/bakerms/,Damascus,"Clearspring, Damascus, Laytonsville, Rockwell, Woodfield"
